state_or_territory,winners
California,8
Texas,2
New York,9
Florida,12
Illinois,2
Pennsylvania,18
Ohio,3
Georgia,6
Michigan,3
North Carolina,6
New Jersey,8
Virginia,1
Washington,1
Massachusetts,6
Arizona,13
Indiana,39
Tennessee,7
Missouri,31
Maryland,2
Wisconsin,17
Minnesota,22
Colorado,3
Alabama,0
South Carolina,6
Louisiana,17
Kentucky,18
Oregon,5
Oklahoma,4
Puerto Rico,2
Connecticut,8
Iowa,9
Mississippi,0
Arkansas,0
Utah,0
Kansas,11
Nevada,0
New Mexico,5
Nebraska,10
West Virginia,8
Idaho,5
Hawaii,0
Maine,0
New Hampshire,11
Rhode Island,8
Montana,4
Delaware,10
South Dakota,3
Alaska,0
North Dakota,0
District of Columbia,11
Vermont,0
Wyoming,0
Guam,0
U.S. Virgin Islands,0
American Samoa,0
Northern Mariana Islands,0
